Infinitive,задвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,задвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,задвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,задвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задвига́юсь
2nd Sing,задвига́ешься
3rd Sing,задвига́ется
1st Pl,задвига́емся
2nd Pl,задвига́етесь
3rd Pl,задвига́ются
Past M,задвига́лся
Past F,задвига́лась
Past N,задвига́лось
Past PL,задвига́лись
Imp S,задвига́йся
Imp PL,задвига́йтесь
