Infinitive,заме́шкаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заме́шкавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заме́шкавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заме́шкаюсь
2nd Sing,заме́шкаешься
3rd Sing,заме́шкается
1st Pl,заме́шкаемся
2nd Pl,заме́шкаетесь
3rd Pl,заме́шкаются
Past M,заме́шкался
Past F,заме́шкалась
Past N,заме́шкалось
Past PL,заме́шкались
Imp S,заме́шкайся
Imp PL,заме́шкайтесь
