Infinitive,заполня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заполня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заполня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заполня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заполня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заполня́юсь
2nd Sing,заполня́ешься
3rd Sing,заполня́ется
1st Pl,заполня́емся
2nd Pl,заполня́етесь
3rd Pl,заполня́ются
Past M,заполня́лся
Past F,заполня́лась
Past N,заполня́лось
Past PL,заполня́лись
Imp S,заполня́йся
Imp PL,заполня́йтесь
