Infinitive,закаля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закаля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закаля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закаля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закаля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закаля́юсь
2nd Sing,закаля́ешься
3rd Sing,закаля́ется
1st Pl,закаля́емся
2nd Pl,закаля́етесь
3rd Pl,закаля́ются
Past M,закаля́лся
Past F,закаля́лась
Past N,закаля́лось
Past PL,закаля́лись
Imp S,закаля́йся
Imp PL,закаля́йтесь
