Infinitive,закочене́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,закочене́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закочене́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,закочене́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,закочене́ю
2nd Sing,закочене́ешь
3rd Sing,закочене́ет
1st Pl,закочене́ем
2nd Pl,закочене́ете
3rd Pl,закочене́ют
Past M,закочене́л
Past F,закочене́ла
Past N,закочене́ло
Past PL,закочене́ли
Imp S,закочене́й
Imp PL,закочене́йте
