Infinitive,законсерви́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,законсерви́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,законсерви́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,законсерви́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,законсерви́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,законсерви́рую
2nd Sing,законсерви́руешь
3rd Sing,законсерви́рует
1st Pl,законсерви́руем
2nd Pl,законсерви́руете
3rd Pl,законсерви́руют
Past M,законсерви́ровал
Past F,законсерви́ровала
Past N,законсерви́ровало
Past PL,законсерви́ровали
Imp S,законсерви́руй
Imp PL,законсерви́руйте
