Infinitive,замаха́ть
Zaliznyak Class,6c // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замаха́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замаха́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замаха́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замашу́
2nd Sing,зама́шешь
3rd Sing,зама́шет
1st Pl,зама́шем
2nd Pl,зама́шете
3rd Pl,зама́шут
Past M,замаха́л
Past F,замаха́ла
Past N,замаха́ло
Past PL,замаха́ли
Imp S,замаши́
Imp PL,замаши́те
