Infinitive,зарожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зарожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зарожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зарожда́юсь
2nd Sing,зарожда́ешься
3rd Sing,зарожда́ется
1st Pl,зарожда́емся
2nd Pl,зарожда́етесь
3rd Pl,зарожда́ются
Past M,зарожда́лся
Past F,зарожда́лась
Past N,зарожда́лось
Past PL,зарожда́лись
Imp S,зарожда́йся
Imp PL,зарожда́йтесь
