Infinitive,захрапе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захрапя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,захрапе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,захрапя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,захрапе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,захрапе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,захраплю́
2nd Sing,захрапи́шь
3rd Sing,захрапи́т
1st Pl,захрапи́м
2nd Pl,захрапи́те
3rd Pl,захрапя́т
Past M,захрапе́л
Past F,захрапе́ла
Past N,захрапе́ло
Past PL,захрапе́ли
Imp S,захрапи́
Imp PL,захрапи́те
