Infinitive,замига́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,замига́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замига́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,замига́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,замига́ю
2nd Sing,замига́ешь
3rd Sing,замига́ет
1st Pl,замига́ем
2nd Pl,замига́ете
3rd Pl,замига́ют
Past M,замига́л
Past F,замига́ла
Past N,замига́ло
Past PL,замига́ли
Imp S,замига́й
Imp PL,замига́йте
