Infinitive,зажра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зажру́сь
2nd Sing,зажрёшься
3rd Sing,зажрётся
1st Pl,зажрёмся
2nd Pl,зажрётесь
3rd Pl,зажру́тся
Past M,зажра́лся
Past F,зажрала́сь
Past N,зажрало́сь
Past PL,зажрали́сь
Imp S,зажри́сь
Imp PL,зажри́тесь
