Infinitive,затопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зато́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затоплю́
2nd Sing,зато́пишь
3rd Sing,зато́пит
1st Pl,зато́пим
2nd Pl,зато́пите
3rd Pl,зато́пят
Past M,затопи́л
Past F,затопи́ла
Past N,затопи́ло
Past PL,затопи́ли
Imp S,затопи́
Imp PL,затопи́те
