Infinitive,заяви́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заяви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заяви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заявлю́сь
2nd Sing,зая́вишься
3rd Sing,зая́вится
1st Pl,зая́вимся
2nd Pl,зая́витесь
3rd Pl,зая́вятся
Past M,заяви́лся
Past F,заяви́лась
Past N,заяви́лось
Past PL,заяви́лись
Imp S,заяви́сь
Imp PL,заяви́тесь
