Infinitive,закати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закачу́
2nd Sing,зака́тишь
3rd Sing,зака́тит
1st Pl,зака́тим
2nd Pl,зака́тите
3rd Pl,зака́тят
Past M,закати́л
Past F,закати́ла
Past N,закати́ло
Past PL,закати́ли
Imp S,закати́
Imp PL,закати́те
