Infinitive,заверши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заверши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завершённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заверши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заверши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завершу́
2nd Sing,заверши́шь
3rd Sing,заверши́т
1st Pl,заверши́м
2nd Pl,заверши́те
3rd Pl,заверша́т
Past M,заверши́л
Past F,заверши́ла
Past N,заверши́ло
Past PL,заверши́ли
Imp S,заверши́
Imp PL,заверши́те
