Infinitive,затума́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затума́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затума́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затума́нив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затума́нивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затума́ню
2nd Sing,затума́нишь
3rd Sing,затума́нит
1st Pl,затума́ним
2nd Pl,затума́ните
3rd Pl,затума́нят
Past M,затума́нил
Past F,затума́нила
Past N,затума́нило
Past PL,затума́нили
Imp S,затума́нь
Imp PL,затума́ньте
