Infinitive,замахну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замахну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замахну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,замахну́сь
2nd Sing,замахнёшься
3rd Sing,замахнётся
1st Pl,замахнёмся
2nd Pl,замахнётесь
3rd Pl,замахну́тся
Past M,замахну́лся
Past F,замахну́лась
Past N,замахну́лось
Past PL,замахну́лись
Imp S,замахни́сь
Imp PL,замахни́тесь
