Infinitive,заду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заду́маюсь
2nd Sing,заду́маешься
3rd Sing,заду́мается
1st Pl,заду́маемся
2nd Pl,заду́маетесь
3rd Pl,заду́маются
Past M,заду́мался
Past F,заду́малась
Past N,заду́малось
Past PL,заду́мались
Imp S,заду́майся
Imp PL,заду́майтесь
