Infinitive,зама́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зама́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зама́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зама́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зама́жу
2nd Sing,зама́жешь
3rd Sing,зама́жет
1st Pl,зама́жем
2nd Pl,зама́жете
3rd Pl,зама́жут
Past M,зама́зал
Past F,зама́зала
Past N,зама́зало
Past PL,зама́зали
Imp S,зама́жь
Imp PL,зама́жьте
