Infinitive,зави́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зави́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зави́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зави́дуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зави́довав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зави́довавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зави́дую
2nd Sing,зави́дуешь
3rd Sing,зави́дует
1st Pl,зави́дуем
2nd Pl,зави́дуете
3rd Pl,зави́дуют
Past M,зави́довал
Past F,зави́довала
Past N,зави́довало
Past PL,зави́довали
Imp S,зави́дуй
Imp PL,зави́дуйте
