Infinitive,запу́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запу́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запу́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запу́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запу́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запу́таю
2nd Sing,запу́таешь
3rd Sing,запу́тает
1st Pl,запу́таем
2nd Pl,запу́таете
3rd Pl,запу́тают
Past M,запу́тал
Past F,запу́тала
Past N,запу́тало
Past PL,запу́тали
Imp S,запу́тай
Imp PL,запу́тайте
