Infinitive,запу́таться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запу́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запу́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запу́таюсь
2nd Sing,запу́таешься
3rd Sing,запу́тается
1st Pl,запу́таемся
2nd Pl,запу́таетесь
3rd Pl,запу́таются
Past M,запу́тался
Past F,запу́талась
Past N,запу́талось
Past PL,запу́тались
Imp S,запу́тайся
Imp PL,запу́тайтесь
