Infinitive,застона́ть
Zaliznyak Class,6°c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,застона́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застона́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,застона́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,застону́
2nd Sing,засто́нешь
3rd Sing,засто́нет
1st Pl,засто́нем
2nd Pl,засто́нете
3rd Pl,засто́нут
Past M,застона́л
Past F,застона́ла
Past N,застона́ло
Past PL,застона́ли
Imp S,застони́
Imp PL,застони́те
