Infinitive,заволо́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заволо́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заволочённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заволо́кши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заволоку́
2nd Sing,заволочёшь
3rd Sing,заволочёт
1st Pl,заволочём
2nd Pl,заволочёте
3rd Pl,заволоку́т
Past M,заволо́к
Past F,заволокла́
Past N,заволокло́
Past PL,заволокли́
Imp S,заволоки́
Imp PL,заволоки́те
