Infinitive,зако́нчиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зако́нчившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зако́нчившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зако́нчусь
2nd Sing,зако́нчишься
3rd Sing,зако́нчится
1st Pl,зако́нчимся
2nd Pl,зако́нчитесь
3rd Pl,зако́нчатся
Past M,зако́нчился
Past F,зако́нчилась
Past N,зако́нчилось
Past PL,зако́нчились
Imp S,зако́нчись
Imp PL,зако́нчитесь
