Infinitive,замеча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замеча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,замеча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замеча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,замеча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замеча́юсь
2nd Sing,замеча́ешься
3rd Sing,замеча́ется
1st Pl,замеча́емся
2nd Pl,замеча́етесь
3rd Pl,замеча́ются
Past M,замеча́лся
Past F,замеча́лась
Past N,замеча́лось
Past PL,замеча́лись
Imp S,замеча́йся
Imp PL,замеча́йтесь
