Infinitive,засе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зася́ду
2nd Sing,зася́дешь
3rd Sing,зася́дет
1st Pl,зася́дем
2nd Pl,зася́дете
3rd Pl,зася́дут
Past M,засе́л
Past F,засе́ла
Past N,засе́ло
Past PL,засе́ли
Imp S,зася́дь
Imp PL,зася́дьте
