Infinitive,заму́чить
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заму́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заму́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заму́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заму́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заму́чу
2nd Sing,заму́чишь
3rd Sing,заму́чит
1st Pl,заму́чим
2nd Pl,заму́чите
3rd Pl,заму́чат
Past M,заму́чил
Past F,заму́чила
Past N,заму́чило
Past PL,заму́чили
Imp S,заму́чь
Imp PL,заму́чьте
