Infinitive,забракова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,забракова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забрако́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забракова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,забракова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забраку́ю
2nd Sing,забраку́ешь
3rd Sing,забраку́ет
1st Pl,забраку́ем
2nd Pl,забраку́ете
3rd Pl,забраку́ют
Past M,забракова́л
Past F,забракова́ла
Past N,забракова́ло
Past PL,забракова́ли
Imp S,забраку́й
Imp PL,забраку́йте
