Infinitive,зако́нчить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зако́нчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зако́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зако́нчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зако́нчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зако́нчу
2nd Sing,зако́нчишь
3rd Sing,зако́нчит
1st Pl,зако́нчим
2nd Pl,зако́нчите
3rd Pl,зако́нчат
Past M,зако́нчил
Past F,зако́нчила
Past N,зако́нчило
Past PL,зако́нчили
Imp S,зако́нчи
Imp PL,зако́нчите
