Infinitive,забрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забре́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забредя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забре́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забреду́
2nd Sing,забредёшь
3rd Sing,забредёт
1st Pl,забредём
2nd Pl,забредёте
3rd Pl,забреду́т
Past M,забрёл
Past F,забрела́
Past N,забрело́
Past PL,забрели́
Imp S,забреди́
Imp PL,забреди́те
