Infinitive,забра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заберу́сь
2nd Sing,заберёшься
3rd Sing,заберётся
1st Pl,заберёмся
2nd Pl,заберётесь
3rd Pl,заберу́тся
Past M,забра́лся
Past F,забрала́сь
Past N,забрало́сь
Past PL,забрали́сь
Imp S,забери́сь
Imp PL,забери́тесь
