Infinitive,заменя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заменя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заменя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заменя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заменя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заменя́юсь
2nd Sing,заменя́ешься
3rd Sing,заменя́ется
1st Pl,заменя́емся
2nd Pl,заменя́етесь
3rd Pl,заменя́ются
Past M,заменя́лся
Past F,заменя́лась
Past N,заменя́лось
Past PL,заменя́лись
Imp S,заменя́йся
Imp PL,заменя́йтесь
