Infinitive,заходи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заходя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заходи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заходя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заходи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,захожу́сь
2nd Sing,захо́дишься
3rd Sing,захо́дится
1st Pl,захо́димся
2nd Pl,захо́дитесь
3rd Pl,захо́дятся
Past M,заходи́лся
Past F,заходи́лась
Past N,заходи́лось
Past PL,заходи́лись
Imp S,заходи́сь
Imp PL,заходи́тесь
