Infinitive,замета́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замета́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замета́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,замечу́сь
2nd Sing,заме́чешься
3rd Sing,заме́чется
1st Pl,заме́чемся
2nd Pl,заме́четесь
3rd Pl,заме́чутся
Past M,замета́лся
Past F,замета́лась
Past N,замета́лось
Past PL,замета́лись
Imp S,замечи́сь
Imp PL,замечи́тесь
