Infinitive,затени́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затенённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затеню́
2nd Sing,затени́шь
3rd Sing,затени́т
1st Pl,затени́м
2nd Pl,затени́те
3rd Pl,затеня́т
Past M,затени́л
Past F,затени́ла
Past N,затени́ло
Past PL,затени́ли
Imp S,затени́
Imp PL,затени́те
