Infinitive,забараба́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забараба́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забараба́нив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забараба́нивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забараба́ню
2nd Sing,забараба́нишь
3rd Sing,забараба́нит
1st Pl,забараба́ним
2nd Pl,забараба́ните
3rd Pl,забараба́нят
Past M,забараба́нил
Past F,забараба́нила
Past N,забараба́нило
Past PL,забараба́нили
Imp S,забараба́нь
Imp PL,забараба́ньте
