Infinitive,забро́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,забро́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забро́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,забро́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забро́шу
2nd Sing,забро́сишь
3rd Sing,забро́сит
1st Pl,забро́сим
2nd Pl,забро́сите
3rd Pl,забро́сят
Past M,забро́сил
Past F,забро́сила
Past N,забро́сило
Past PL,забро́сили
Imp S,забро́сь
Imp PL,забро́сьте
