Infinitive,загалде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загалде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загалде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загалде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
2nd Sing,загалди́шь
3rd Sing,загалди́т
1st Pl,загалди́м
2nd Pl,загалди́те
3rd Pl,загалдя́т
Past M,загалде́л
Past F,загалде́ла
Past N,загалде́ло
Past PL,загалде́ли
Imp S,загалди́
Imp PL,загалди́те
