Infinitive,запасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запа́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запасённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запа́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запасу́
2nd Sing,запасёшь
3rd Sing,запасёт
1st Pl,запасём
2nd Pl,запасёте
3rd Pl,запасу́т
Past M,запа́с
Past F,запасла́
Past N,запасло́
Past PL,запасли́
Imp S,запаси́
Imp PL,запаси́те
