Infinitive,запасти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запа́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запа́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,запасу́сь
2nd Sing,запасёшься
3rd Sing,запасётся
1st Pl,запасёмся
2nd Pl,запасётесь
3rd Pl,запасу́тся
Past M,запа́сся
Past F,запасла́сь
Past N,запасло́сь
Past PL,запасли́сь
Imp S,запаси́сь
Imp PL,запаси́тесь
