Infinitive,заче́рпывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заче́рпывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заче́рпывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заче́рпываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заче́рпывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,заче́рпывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,заче́рпывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,заче́рпываю
2nd Sing,заче́рпываешь
3rd Sing,заче́рпывает
1st Pl,заче́рпываем
2nd Pl,заче́рпываете
3rd Pl,заче́рпывают
Past M,заче́рпывал
Past F,заче́рпывала
Past N,заче́рпывало
Past PL,заче́рпывали
Imp S,заче́рпывай
Imp PL,заче́рпывайте
