Infinitive,запроки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запроки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запроки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запроки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запроки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запроки́ну
2nd Sing,запроки́нешь
3rd Sing,запроки́нет
1st Pl,запроки́нем
2nd Pl,запроки́нете
3rd Pl,запроки́нут
Past M,запроки́нул
Past F,запроки́нула
Past N,запроки́нуло
Past PL,запроки́нули
Imp S,запроки́нь
Imp PL,запроки́ньте
