Infinitive,зачеса́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачеса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачёсанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачеса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зачеса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачешу́
2nd Sing,заче́шешь
3rd Sing,заче́шет
1st Pl,заче́шем
2nd Pl,заче́шете
3rd Pl,заче́шут
Past M,зачеса́л
Past F,зачеса́ла
Past N,зачеса́ло
Past PL,зачеса́ли
Imp S,зачеши́
Imp PL,зачеши́те
