Infinitive,защища́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,защища́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,защища́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,защища́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,защища́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,защища́юсь
2nd Sing,защища́ешься
3rd Sing,защища́ется
1st Pl,защища́емся
2nd Pl,защища́етесь
3rd Pl,защища́ются
Past M,защища́лся
Past F,защища́лась
Past N,защища́лось
Past PL,защища́лись
Imp S,защища́йся
Imp PL,защища́йтесь
