Infinitive,задыха́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,задыха́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,задыха́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задыха́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,задыха́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задыха́юсь
2nd Sing,задыха́ешься
3rd Sing,задыха́ется
1st Pl,задыха́емся
2nd Pl,задыха́етесь
3rd Pl,задыха́ются
Past M,задыха́лся
Past F,задыха́лась
Past N,задыха́лось
Past PL,задыха́лись
Imp S,задыха́йся
Imp PL,задыха́йтесь
