Infinitive,завести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заве́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заведённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заведя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заве́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заведу́
2nd Sing,заведёшь
3rd Sing,заведёт
1st Pl,заведём
2nd Pl,заведёте
3rd Pl,заведу́т
Past M,завёл
Past F,завела́
Past N,завело́
Past PL,завели́
Imp S,заведи́
Imp PL,заведи́те
