Infinitive,заводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завожу́сь
2nd Sing,заво́дишься
3rd Sing,заво́дится
1st Pl,заво́димся
2nd Pl,заво́дитесь
3rd Pl,заво́дятся
Past M,заводи́лся
Past F,заводи́лась
Past N,заводи́лось
Past PL,заводи́лись
Imp S,заводи́сь
Imp PL,заводи́тесь
