Infinitive,замаскирова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замаскирова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замаскиро́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замаскирова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замаскирова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замаскиру́ю
2nd Sing,замаскиру́ешь
3rd Sing,замаскиру́ет
1st Pl,замаскиру́ем
2nd Pl,замаскиру́ете
3rd Pl,замаскиру́ют
Past M,замаскирова́л
Past F,замаскирова́ла
Past N,замаскирова́ло
Past PL,замаскирова́ли
Imp S,замаскиру́й
Imp PL,замаскиру́йте
