Infinitive,завезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завезу́
2nd Sing,завезёшь
3rd Sing,завезёт
1st Pl,завезём
2nd Pl,завезёте
3rd Pl,завезу́т
Past M,завёз
Past F,завезла́
Past N,завезло́
Past PL,завезли́
Imp S,завези́
Imp PL,завези́те
