Infinitive,заси́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заси́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заси́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заси́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заси́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заси́живаюсь
2nd Sing,заси́живаешься
3rd Sing,заси́живается
1st Pl,заси́живаемся
2nd Pl,заси́живаетесь
3rd Pl,заси́живаются
Past M,заси́живался
Past F,заси́живалась
Past N,заси́живалось
Past PL,заси́живались
Imp S,заси́живайся
Imp PL,заси́живайтесь
