Infinitive,зареве́ть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зареве́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зареве́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зареве́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зареву́
2nd Sing,заревёшь
3rd Sing,заревёт
1st Pl,заревём
2nd Pl,заревёте
3rd Pl,зареву́т
Past M,зареве́л
Past F,зареве́ла
Past N,зареве́ло
Past PL,зареве́ли
Imp S,зареви́
Imp PL,зареви́те
