Infinitive,затверди́ть
Zaliznyak Class,4b[⑧]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затверди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затвержённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затве́рженный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,затверди́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,затверди́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,затвержу́
2nd Sing,затверди́шь
3rd Sing,затверди́т
1st Pl,затверди́м
2nd Pl,затверди́те
3rd Pl,затвердя́т
Past M,затверди́л
Past F,затверди́ла
Past N,затверди́ло
Past PL,затверди́ли
Imp S,затверди́
Imp PL,затверди́те
