Infinitive,засвисте́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засвисте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засвисте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засвисте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засвищу́
2nd Sing,засвисти́шь
3rd Sing,засвисти́т
1st Pl,засвисти́м
2nd Pl,засвисти́те
3rd Pl,засвистя́т
Past M,засвисте́л
Past F,засвисте́ла
Past N,засвисте́ло
Past PL,засвисте́ли
Imp S,засвисти́
Imp PL,засвисти́те
