Infinitive,загрязни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загрязни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загрязнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загрязни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загрязни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загрязню́
2nd Sing,загрязни́шь
3rd Sing,загрязни́т
1st Pl,загрязни́м
2nd Pl,загрязни́те
3rd Pl,загрязня́т
Past M,загрязни́л
Past F,загрязни́ла
Past N,загрязни́ло
Past PL,загрязни́ли
Imp S,загрязни́
Imp PL,загрязни́те
