Infinitive,завопи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,завопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завопи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,завопи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,завоплю́
2nd Sing,завопи́шь
3rd Sing,завопи́т
1st Pl,завопи́м
2nd Pl,завопи́те
3rd Pl,завопя́т
Past M,завопи́л
Past F,завопи́ла
Past N,завопи́ло
Past PL,завопи́ли
Imp S,завопи́
Imp PL,завопи́те
