Infinitive,заворожи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заворожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заворожённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заворожи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заворожи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заворожу́
2nd Sing,заворожи́шь
3rd Sing,заворожи́т
1st Pl,заворожи́м
2nd Pl,заворожи́те
3rd Pl,заворожа́т
Past M,заворожи́л
Past F,заворожи́ла
Past N,заворожи́ло
Past PL,заворожи́ли
Imp S,заворожи́
Imp PL,заворожи́те
