Infinitive,зарегистри́роваться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарегистри́ровавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарегистри́ровавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зарегистри́руюсь
2nd Sing,зарегистри́руешься
3rd Sing,зарегистри́руется
1st Pl,зарегистри́руемся
2nd Pl,зарегистри́руетесь
3rd Pl,зарегистри́руются
Past M,зарегистри́ровался
Past F,зарегистри́ровалась
Past N,зарегистри́ровалось
Past PL,зарегистри́ровались
Imp S,зарегистри́руйся
Imp PL,зарегистри́руйтесь
