Infinitive,восхища́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,восхища́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восхища́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восхища́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восхища́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восхища́юсь
2nd Sing,восхища́ешься
3rd Sing,восхища́ется
1st Pl,восхища́емся
2nd Pl,восхища́етесь
3rd Pl,восхища́ются
Past M,восхища́лся
Past F,восхища́лась
Past N,восхища́лось
Past PL,восхища́лись
Imp S,восхища́йся
Imp PL,восхища́йтесь
