Infinitive,возвраща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возвраща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвраща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возвраща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возвраща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвраща́юсь
2nd Sing,возвраща́ешься
3rd Sing,возвраща́ется
1st Pl,возвраща́емся
2nd Pl,возвраща́етесь
3rd Pl,возвраща́ются
Past M,возвраща́лся
Past F,возвраща́лась
Past N,возвраща́лось
Past PL,возвраща́лись
Imp S,возвраща́йся
Imp PL,возвраща́йтесь
