Infinitive,вооружа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вооружа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вооружа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вооружа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вооружа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вооружа́юсь
2nd Sing,вооружа́ешься
3rd Sing,вооружа́ется
1st Pl,вооружа́емся
2nd Pl,вооружа́етесь
3rd Pl,вооружа́ются
Past M,вооружа́лся
Past F,вооружа́лась
Past N,вооружа́лось
Past PL,вооружа́лись
Imp S,вооружа́йся
Imp PL,вооружа́йтесь
