Infinitive,возрожда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возрожда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возрожда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возрожда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возрожда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,возрожда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,возрожда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,возрожда́ю
2nd Sing,возрожда́ешь
3rd Sing,возрожда́ет
1st Pl,возрожда́ем
2nd Pl,возрожда́ете
3rd Pl,возрожда́ют
Past M,возрожда́л
Past F,возрожда́ла
Past N,возрожда́ло
Past PL,возрожда́ли
Imp S,возрожда́й
Imp PL,возрожда́йте
