Infinitive,восстана́вливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,восстана́вливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восстана́вливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восстана́вливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восстана́вливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восстана́вливаюсь
2nd Sing,восстана́вливаешься
3rd Sing,восстана́вливается
1st Pl,восстана́вливаемся
2nd Pl,восстана́вливаетесь
3rd Pl,восстана́вливаются
Past M,восстана́вливался
Past F,восстана́вливалась
Past N,восстана́вливалось
Past PL,восстана́вливались
Imp S,восстана́вливайся
Imp PL,восстана́вливайтесь
