Infinitive,возыме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возыме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возыме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,возыме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,возыме́ю
2nd Sing,возыме́ешь
3rd Sing,возыме́ет
1st Pl,возыме́ем
2nd Pl,возыме́ете
3rd Pl,возыме́ют
Past M,возыме́л
Past F,возыме́ла
Past N,возыме́ло
Past PL,возыме́ли
Imp S,возыме́й
Imp PL,возыме́йте
